form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Labels (Add Back in Office),Sample Label
rec-35ba7abf988f4f32b7c064c5e30ef476,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-84acd859cd6a462fa2126714374f4776,Hair,14585,,cl-EV175
rec-f0d622ed819c41bd974fc9d3fb9f5bac,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-84acd859cd6a462fa2126714374f4776,Tissue,14586,,cl-EV176
rec-d4fa7b28d3c14374bfd4bfbe0fba8cde,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-84acd859cd6a462fa2126714374f4776,Tooth,14587,,cl-EV177
rec-70e668488c7c4abe84e25fca2a266b76,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-d6cf462765cd4d50975b8d8511163e17,Hair,14584,,cl-EV173
rec-aafec26edac74cfcb411e6526c608c6d,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-69c2d738cb8d4ba7bb84f174e36899b1,Hair,14579,,cl-EV169
rec-1bc0bcf34c364570b403252ece75b719,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-69c2d738cb8d4ba7bb84f174e36899b1,Hair,14580,,cl-EV170
rec-88c1bc2541244bcd9188f48c2dfd47b5,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-69c2d738cb8d4ba7bb84f174e36899b1,Tissue,14581,,cl-EV171
rec-317f2abe0e7840e580a4d914fd991176,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-69c2d738cb8d4ba7bb84f174e36899b1,Tooth,14582,,cl-EV172
rec-e0334ecd771e4a96b181fdb9b3b45244,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-aa3d076dd007429ab3fa6fafee4dc2a7,Hair,15147,,cl-EV165
rec-f4d3438959c8455a853733ae1635e7cc,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-aa3d076dd007429ab3fa6fafee4dc2a7,Hair,15150,,cl-EV166
rec-d876488724634bdba58174a3d8cb9eec,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-aa3d076dd007429ab3fa6fafee4dc2a7,Tissue,15148,,cl-EV167
rec-a847b66b13a64274bde9353893ee0e05,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-aa3d076dd007429ab3fa6fafee4dc2a7,Tooth,15149,,cl-EV168
rec-3f1a265309a6454387579a6b0fbd0927,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9a523cf690a44615afce8f80e356a641,Hair,14971,,cl-EV162
rec-51bbf1b0c9574fad8e20d0cef46a9be1,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9a523cf690a44615afce8f80e356a641,Hair,14983,,cl-EV163
